datetime,close,open,high,low,volume,openinterest,开仓价格,平仓价格开盘价格,平仓价格收盘价格,方向,差价1,差2,盈利1,盈利1,,开仓价格,平仓价格收盘价格,,方向,差价1,盈利1
2023/2/13,4139,4093.8,4145.4,4085.8,51082,-4.423037061,4139,4147,4150,1,8,11,8,11,,4093.8,4139,,-1,45.2,-45.2
2023/2/14,4150,4147,4152,4122.6,40609,-3.032992535,4150,4152.6,4120.4,1,2.6,-29.6,2.6,-29.6,,4147,4150,,-1,3,-3
2023/2/15,4120.4,4152.6,4160.4,4112.2,39710,-1.046499428,4120.4,4130,4090,1,9.6,-30.4,9.6,-30.4,,4152.6,4120.4,,-1,-32.2,32.2
2023/2/16,4090,4130,4175.2,4067.6,39699,7.947826265,4090,4099,4034.6,1,9,-55.4,9,-55.4,,4130,4090,,-1,-40,40
2023/2/17,4034.6,4099,4114,4032.4,80888,6.834241669,4034.6,4049,4146.8,-1,14.4,112.2,-14.4,-112.2,,4099,4034.6,,1,-64.4,-64.4
2023/2/20,4146.8,4049,4148.6,4036.6,87814,3.751027023,4146.8,4140,4149.4,-1,-6.8,2.6,6.8,-2.6,,4049,4146.8,,1,97.8,97.8
2023/2/21,4149.4,4140,4162.4,4124.8,66790,4.046687648,4149.4,4131,4109.8,-1,-18.4,-39.6,18.4,39.6,,4140,4149.4,,1,9.4,9.4
2023/2/22,4109.8,4131,4146.2,4102.4,65244,1.557522805,4109.8,4116,4108.2,-1,6.2,-1.6,-6.2,1.6,,4131,4109.8,,1,-21.2,-21.2
2023/2/23,4108.2,4116,4136,4089,69947,0.226974012,4108.2,4103,4067.6,1,-5.2,-40.6,-5.2,-40.6,,4116,4108.2,,-1,-7.8,7.8
2023/2/24,4067.6,4103,4107.6,4046,71007,-1.390458654,4067.6,4050,4051.4,1,-17.6,-16.2,-17.6,-16.2,,4103,4067.6,,-1,-35.4,35.4
2023/2/27,4051.4,4050,4071.8,4035.4,61240,0.676703506,4051.4,4068,4079.2,1,16.6,27.8,16.6,27.8,,4050,4051.4,,-1,1.4,-1.4
2023/2/28,4079.2,4068,4086.2,4026,69154,0.218193179,4079.2,4073,4133.2,1,-6.2,54,-6.2,54,,4068,4079.2,,-1,11.2,-11.2
2023/3/1,4133.2,4073,4148,4068.4,85366,0.034319396,4133.2,4124,4126.6,1,-9.2,-6.6,-9.2,-6.6,,4073,4133.2,,-1,60.2,-60.2
2023/3/2,4126.6,4124,4145,4121,51643,-0.503362311,4126.6,4144.2,4134.4,1,17.6,7.8,17.6,7.8,,4124,4126.6,,-1,2.6,-2.6
2023/3/3,4134.4,4144.2,4147.8,4105.2,58882,-3.844325827,4134.4,4132.2,4103,1,-2.2,-31.4,-2.2,-31.4,,4144.2,4134.4,,-1,-9.8,9.8
2023/3/6,4103,4132.2,4135,4086.4,67917,2.026230309,4103,4097.4,4047.2,1,-5.6,-55.8,-5.6,-55.8,,4132.2,4103,,-1,-29.2,29.2
2023/3/7,4047.2,4097.4,4125.2,4044.6,82731,6.000621283,4047.2,4030,4034.8,-1,-17.2,-12.4,17.2,12.4,,4097.4,4047.2,,1,-50.2,-50.2
2023/3/8,4034.8,4030,4042.8,4015,57287,0.856011194,4034.8,4037,4023,-1,2.2,-11.8,-2.2,11.8,,4030,4034.8,,1,4.8,4.8
2023/3/9,4023,4037,4043.6,3998.6,64588,1.908443691,4023,3996.8,3965.6,1,-26.2,-57.4,-26.2,-57.4,,4037,4023,,-1,-14,14
2023/3/10,3965.6,3996.8,4011,3962.2,74361,2.077156358,3965.6,3973.6,4010,1,8,44.4,8,44.4,,3996.8,3965.6,,-1,-31.2,31.2
2023/3/13,4010,3973.6,4014.6,3973,70723,-0.336122234,4010,3998,3988.8,-1,-12,-21.2,12,21.2,,3973.6,4010,,1,36.4,36.4
2023/3/14,3988.8,3998,4004.6,3950.6,74234,2.196278293,3988.8,4017.2,3986.4,1,28.4,-2.4,28.4,-2.4,,3998,3988.8,,-1,-9.2,9.2
2023/3/15,3986.4,4017.2,4024.2,3983.2,59629,1.729675237,3986.4,3956,3941,-1,-30.4,-45.4,30.4,45.4,,4017.2,3986.4,,1,-30.8,-30.8
2023/3/16,3941,3956,3987.6,3935.6,48932,-0.87092364,3941,3963.4,3974.6,1,22.4,33.6,22.4,33.6,,3956,3941,,-1,-15,15
2023/3/17,3974.6,3963.4,4008.8,3958.6,26726,-1.354775555,3974.6,3967,3945.6,1,-7.6,-29,-7.6,-29,,3963.4,3974.6,,-1,11.2,-11.2
2023/3/20,3945.6,3967,3989,3938.6,60635,0.748550068,3945.6,3958,3988.6,1,12.4,43,12.4,43,,3967,3945.6,,-1,-21.4,21.4
2023/3/21,3988.6,3958,3992.8,3954.4,60019,1.468130217,3988.6,4000,4003.2,1,11.4,14.6,11.4,14.6,,3958,3988.6,,-1,30.6,-30.6
2023/3/22,4003.2,4000,4022.4,3989.8,57032,-0.275390807,4003.2,3993,4044.6,1,-10.2,41.4,-10.2,41.4,,4000,4003.2,,-1,3.2,-3.2
2023/3/23,4044.6,3993,4045.6,3991.6,59961,-5.241214793,4044.6,4034.6,4040.6,1,-10,-4,-10,-4,,3993,4044.6,,-1,51.6,-51.6
2023/3/24,4040.6,4034.6,4047.8,4025.6,49595,-1.564106425,4040.6,4033,4019,1,-7.6,-21.6,-7.6,-21.6,,4034.6,4040.6,,-1,6,-6
2023/3/27,4019,4033,4035,3997.8,56951,-2.873461986,4019,4028.8,4009.4,1,9.8,-9.6,9.8,-9.6,,4033,4019,,-1,-14,14
